nombre,edad,altura,peso,posiciones,pie preferido,velocidad,disparo,pase,manejo,defensa,estado fisico
Christian Camilo Mafla Rebellón,26,175,73,LB,Izquierdo,64,35,47,61,64,69
Luís Miguel  Pereira Cortez,25,174,66,"CAM, CM",Derecho,68,59,64,67,38,51
Omenuke Mfulu,25,183,76,"CM, CDM",Derecho,59,45,59,62,66,74
Simen Kind Mikalsen,26,185,81,"LB, LM",Izquierdo,73,60,57,61,63,71
Eric Miller,26,183,79,"RB, LB, LWB",Derecho,75,37,53,59,62,68
Abdulaziz Ali Al Bishi,25,173,73,"RM, LM",Izquierdo,89,55,58,67,27,66
Stefan Scougall,26,170,57,"CM, CAM, LM",Izquierdo,76,59,63,70,48,67
Gabriel Eduardo Díaz Rico,23,183,73,"CB, RB",Derecho,57,25,37,39,63,71
Serge Sidoine Tchaha Leuko,25,173,74,"RB, LB",Derecho,75,50,56,60,60,69
Bálint Vécsei,25,185,80,CM,Izquierdo,57,61,66,70,54,69
Anthony Jackson-Hamel,25,185,85,ST,Derecho,77,64,41,55,23,65
Carlos Castro García,24,177,68,"ST, CAM",Izquierdo,73,64,57,65,33,66
Khiry Shelton,26,191,84,"ST, RW",Derecho,75,56,56,65,37,72
Keshi Anderson,24,178,71,"CAM, RW, RM",Derecho,82,64,56,68,21,54
Mohammed Abdu Khubrani,25,181,68,CB,Derecho,52,24,37,44,64,68
Lee Grace,26,189,81,CB,Derecho,60,26,42,55,64,69
Thibang Phete,25,187,80,"CDM, CB",Derecho,45,41,51,56,64,74
Frederik Tingager,26,198,94,CB,Derecho,46,25,42,47,64,73
Sebastien Uchechukwu Ibeagha,27,188,85,CB,Derecho,72,26,46,45,64,68
Rafael de Vicente Hdez,25,180,75,"CM, CAM, CDM",Derecho,64,58,67,66,49,57
Steffen Lie Skålevik,26,180,75,ST,Derecho,73,64,51,61,26,61
Anton Nedyalkov,26,181,70,LB,Izquierdo,59,46,59,65,63,64
Frederik Gytkjær,26,180,75,"ST, CAM",Derecho,70,63,56,67,31,60
Francesco Margiotta,25,177,76,ST,Derecho,52,62,51,66,21,56
Abdiel Arroyo Molinar,25,183,82,ST,Derecho,69,61,38,55,24,65
Gabriel Cristian Iancu,25,186,80,"LW, CF",Izquierdo,69,65,64,64,41,70
Facundo Barceló,26,174,78,ST,Derecho,70,65,46,64,26,53
Harrison Mancilla,27,174,80,CDM,Derecho,58,34,58,52,62,71
Freddy Alexander Flórez Carrillo,26,177,67,CDM,Derecho,62,41,56,64,60,74
Niko Hansen,24,178,77,RM,Derecho,81,57,60,64,45,60
犬饲 智也,26,182,77,CB,Derecho,59,23,33,41,65,74
Sebastian Mai,25,195,93,"ST, CB, CAM",Derecho,40,58,42,52,63,82
Jesús Hernández,26,182,80,ST,Derecho,73,66,46,59,23,62
Jacob Adebanjo,25,177,80,CDM,Derecho,62,52,56,59,62,78
Leonel Justiniano,26,172,79,CDM,Derecho,57,36,55,54,66,58
Willy Semedo,25,185,68,LW,Derecho,73,63,60,67,36,63
Alihan Kubalas,27,185,78,CB,Derecho,45,27,33,33,70,61
Sékou Condé,26,193,93,CB,Derecho,54,32,41,35,63,76
Yoshinori Suzuki,26,184,72,CB,Derecho,61,37,42,40,66,68
Mihai Popescu,26,188,82,CB,Derecho,58,27,44,56,61,72
Ugo Bonnet,25,181,73,ST,Derecho,70,63,41,66,29,60
Lucas Da Silva Xavier,24,179,77,LM,Izquierdo,67,58,64,67,28,49
Nicola Pavan,26,184,78,"CDM, CM",Derecho,68,54,63,64,63,66
Luke Garbutt,26,178,73,"LB, LM",Izquierdo,64,54,66,65,61,67
Ollie Banks,26,190,75,CM,Derecho,54,60,64,60,60,75
Carl Winchester,26,183,77,CM,Derecho,72,60,64,67,57,73
Simone Calvano,25,183,75,CM,Derecho,66,53,66,64,53,62
Anthony O'Connor,26,188,77,CB,Derecho,67,44,57,60,62,76
James Husband,25,179,65,LB,Izquierdo,67,50,56,64,63,62
Charles Dunne,26,188,86,"CB, LB",Izquierdo,83,38,48,58,63,74
Selim Gündüz,25,171,74,"RM, CM",Derecho,81,57,57,67,49,70
Ezekiel Fryers,26,183,80,LB,Izquierdo,74,40,57,64,63,67
Paul Fadiala Keita,27,192,79,"CDM, CM",Derecho,61,33,53,58,64,73
문창진 文昶辰,25,170,63,"CM, CAM, RW",Derecho,72,60,66,71,41,54
Ryan Edwards,25,188,76,CB,Derecho,57,34,42,42,67,68
Morgan Fox,25,185,78,"LB, LWB",Izquierdo,63,42,54,61,65,69
Caolan Lavery,26,180,76,ST,Derecho,75,65,56,66,36,66
Alexander Winkler,27,190,84,"CB, LB",Izquierdo,56,27,45,37,62,75
Johnny Javier Mostacilla Ceballos,28,187,81,CB,Derecho,51,28,33,33,63,78
Marcelo Jorquera,26,173,71,"LB, LM",Izquierdo,74,39,60,64,59,71
Jonathan Ávila Martínez,27,189,88,CB,Derecho,30,36,47,38,64,74
雷腾龙,28,183,75,CB,Derecho,71,25,36,43,64,73
Mattia Aramu,24,180,69,"ST, RW, CAM",Izquierdo,73,61,66,73,45,57
Mohammed Al Saiari,26,182,80,ST,Derecho,69,61,53,61,36,69
심상민 沈相民,26,172,70,"LB, RB",Izquierdo,72,47,59,67,60,70
김용환 金永焕,26,175,67,"LB, LM, RB",Derecho,85,39,57,66,56,68
Erivaldo Jorge Paulo Ferreira,25,178,66,"RM, LM",Derecho,75,62,55,71,37,49
Florian David,26,180,67,"CAM, ST",Derecho,72,64,62,65,48,67
毕津浩,28,190,75,CB,Derecho,61,59,56,61,62,71
Ygor Nogueira de Paula,24,187,82,CB,Derecho,53,30,42,45,64,72
Sergiu Florin Buș,26,185,85,ST,Derecho,67,65,48,60,31,70
정현철 荣炫澈,26,187,72,"CM, CDM",Derecho,53,52,59,57,60,71
Lukas Görtler,25,186,80,"CAM, ST",Derecho,68,59,60,64,38,74
Sai van Wermeskerken,25,178,72,"RB, LB",Derecho,76,36,59,67,59,64
Alim Öztürk,26,191,80,CB,Derecho,50,46,49,51,64,73
Robert Gojani,26,174,71,"CM, CDM",Derecho,70,46,65,68,48,64
Juan David Ríos Henao,27,174,67,"CDM, CM",Derecho,66,54,61,62,61,69
Justice Chabalala,27,181,77,CB,Derecho,57,27,44,38,67,67
Brent Kallman,28,188,86,CB,Derecho,57,39,49,36,63,76
荒野 拓馬,26,180,72,"CM, CAM, CF",Derecho,65,60,64,65,45,70
임찬울 林昌宇,24,176,71,"RW, CAM",Derecho,73,59,64,65,45,65
Sebastian Jakubiak,26,175,67,"CDM, CM",Derecho,65,55,62,66,63,62
Curtis Tilt,27,189,75,CB,Izquierdo,64,26,36,44,65,73
Alexandre De Bruyn,25,178,69,"LM, CF, CAM",Derecho,70,67,59,70,31,55
Mohamed Naamani,28,196,94,CB,Derecho,34,24,38,46,61,77
白井 康介,25,165,63,"LM, RM",Derecho,81,57,58,69,30,51
Andrei Marc,26,190,86,CB,Derecho,62,28,44,46,64,68
Tomáš Petrášek,27,199,99,CB,Derecho,51,45,35,42,64,81
Jairo Daniel González Fajardo,27,169,76,"LB, LM",Izquierdo,65,51,61,64,65,60
Curtis Main,27,184,86,ST,Derecho,70,64,47,57,35,83
Hope Akpan,27,182,81,"CDM, CM",Derecho,68,55,57,63,63,80
Thomas Konrad,29,186,80,CB,Derecho,67,30,32,35,66,69
Simon Jakobsen,28,190,86,CB,Derecho,61,32,52,52,62,73
Aaron Wildig,27,175,73,"CAM, CDM, CM",Derecho,70,58,61,66,42,62
Omar Beckles,27,191,78,CB,Izquierdo,60,27,47,56,63,75
Mike Cestor,27,178,78,CB,Izquierdo,81,25,46,50,62,72
Nadir Çiftçi,27,185,77,"ST, RW",Derecho,68,65,60,65,38,68
Manfred Gollner,28,185,80,CB,Izquierdo,54,23,43,51,65,72
Clévid Dikamona,29,187,86,"CB, RB",Derecho,61,22,43,51,59,78
Samuel Galindo Suheiro,27,189,77,"CAM, CM",Izquierdo,70,53,68,64,46,60
Christopher Routis,29,186,84,"CB, CDM",Derecho,56,53,61,61,62,74
Tom Eastman,27,191,88,CB,Derecho,37,32,50,55,64,77
Moises Hernandez,27,183,70,LB,Izquierdo,75,49,58,59,63,67
Giacomo Beretta,27,185,83,ST,Derecho,68,63,50,59,24,74
弋腾,29,190,75,"CB, CDM",Derecho,41,37,46,39,63,77
Ethan Ebanks-Landell,26,188,88,CB,Derecho,60,48,49,53,64,72
Francesco Ardizzone,27,180,78,"CM, CDM",Derecho,69,54,62,65,62,63
Nicolás Mezquida,27,168,68,"CAM, ST, CM",Derecho,58,60,61,70,35,44
Joe Riley,27,183,71,"RB, RWB",Derecho,78,54,57,64,63,67
Ellis Harrison,25,180,79,ST,Derecho,82,60,52,64,38,76
Lloyd Isgrove,26,173,72,"RM, LM",Derecho,85,51,58,67,34,57
Ousseynou Cissé,28,195,85,"CDM, CM",Izquierdo,48,48,55,57,63,83
Nicky Devlin,25,183,73,RB,Derecho,89,52,55,61,57,78
Janek  Sternberg,26,182,77,"LB, LM",Izquierdo,72,48,60,62,61,71
Pascal Breier,27,185,77,"ST, RM",Derecho,68,61,58,65,33,73
Jake Caprice,26,179,73,RB,Derecho,80,51,57,63,60,67
Sebastián Javier Rodríguez Iriarte,26,179,79,"CM, CDM",Derecho,58,42,62,64,51,59
Jérôme Phojo,26,178,71,RB,Derecho,70,37,57,63,62,66
Guillaume Dequaire,28,187,80,CB,Izquierdo,60,32,46,50,63,71
Pape Sané,27,187,84,ST,Izquierdo,72,62,49,62,27,70
Harold Andrés Gómez Muñoz,27,174,76,RB,Derecho,66,49,52,56,63,68
Dorian Diring,27,180,77,CM,Derecho,68,51,64,63,60,75
Mohamed Gouaida,26,178,72,"LM, RM, CAM",Izquierdo,75,50,60,69,31,57
Eduardo Pérez,26,188,73,ST,Derecho,66,61,54,60,28,66
Matías Javier Blázquez Lavín,28,187,84,CB,Derecho,44,31,45,34,64,74
Dairin González Mosquera,29,190,86,CB,Derecho,44,31,42,42,61,78
Luis Ruiz Sayago,27,181,73,LB,Izquierdo,72,34,50,60,63,67
Peterson Silvino da Cruz,26,178,72,"LM, RM",Derecho,71,62,58,70,38,58
Marko Simonovski,27,185,73,ST,Derecho,57,68,44,55,30,58
Saad Abdul-Salaam,27,193,84,"RB, LB",Derecho,75,28,54,61,64,75
Alessio Vita,26,176,67,"RM, CM, LM",Derecho,76,61,58,64,32,54
Christian Jakobsen,26,189,84,"LM, LW, CM",Derecho,72,57,61,65,45,70
Pablo Diogo Lopes de Lima,26,175,67,RW,Derecho,77,62,57,68,25,58
Jamie Hopcutt,27,180,74,"CF, ST, CAM",Derecho,78,64,54,68,43,63
Edis Ibargüen,27,184,77,"ST, RM",Derecho,72,59,53,65,25,76
Fabian Herbers,25,183,75,"RM, ST",Derecho,68,64,61,64,48,64
稻垣 祥,27,175,70,"CM, CDM",Derecho,70,60,64,67,57,69
Jaime Soto Kaempfer,27,175,75,RB,Derecho,75,36,59,62,60,65
野上 結貴,28,180,72,CB,Derecho,57,29,47,59,65,66
Ognjen Gnjatić,27,190,81,CDM,Derecho,57,40,55,57,61,79
André Dej,27,174,74,"CM, CDM",Derecho,65,61,67,65,56,60
Pascal Sohm,27,186,77,"ST, LM, RM",Derecho,77,62,58,64,25,71
Max Dombrowka,27,180,77,"LB, CDM",Derecho,75,29,50,62,61,69
Néstor Albiach Roger,26,187,84,CAM,Izquierdo,76,60,59,69,26,69
Harrison Delbridge,27,193,93,"CB, RB",Izquierdo,63,33,41,44,59,83
中村 慶太,26,178,73,"LW, CAM, RW",Derecho,73,60,61,66,37,67
Fabien Ourega,26,178,65,"RM, LM",Derecho,82,53,58,69,29,56
Sam Finley,26,170,68,"CM, CAM",Izquierdo,69,56,64,65,60,69
石原 崇兆,26,172,67,"LM, CAM",Derecho,75,60,62,65,40,59
Hysen Memolla,26,186,78,LB,Izquierdo,64,40,55,60,63,67
Ricardo Fuenzalida,26,163,63,"RM, RW",Derecho,90,49,59,66,29,50
Pierre Bardy,26,182,71,CB,Derecho,61,25,46,58,65,59
Samir Nurković,27,187,80,"ST, CF",Derecho,62,64,54,61,25,67
Frode Kippe,41,194,97,CB,Izquierdo,25,52,49,34,61,73
Jay Bothroyd,37,190,89,ST,Izquierdo,32,66,61,59,28,69
Paweł Brożek,36,180,79,ST,Derecho,34,66,60,62,29,63
Liam Feeney,32,183,76,"LM, RM",Derecho,75,57,61,66,41,65
Ronny König,36,190,93,ST,Izquierdo,30,68,48,46,37,73
Roberto Vitiello,36,176,72,"CB, RB",Derecho,58,44,50,50,65,57
Andy Butler,35,183,83,CB,Izquierdo,34,35,45,44,64,74
Albert Bunjaku,35,178,77,"ST, LM",Derecho,54,64,56,66,37,62
Sedat Ağçay,37,176,72,CDM,Derecho,47,63,57,60,66,66
Cosmin Frăsinescu,34,189,84,CB,Derecho,38,36,41,38,63,73
Sławomir Peszko,34,173,70,LM,Derecho,76,61,64,64,36,61
André Danielsen,34,173,70,"CDM, CM, RB",Derecho,64,53,61,60,62,72
Kari Arkivuo,36,176,72,LB,Derecho,68,50,60,64,61,71
Florian Mader,36,180,76,"CM, CDM",Izquierdo,52,60,68,63,57,59
Gabriel Zakuani,33,186,80,CB,Derecho,73,21,33,38,66,72
Olivier Occéan,37,185,86,ST,Derecho,55,64,54,60,38,73
Mihai Roman,34,175,71,RM,Derecho,73,63,66,59,58,72
Vadim Demidov,32,185,80,CB,Derecho,34,46,51,37,65,69
Peter Nymann Mikkelsen,36,179,75,"RM, RB",Derecho,73,55,61,64,60,67
Matthew Mills,32,191,82,CB,Derecho,47,40,49,42,63,73
Adam Mohamad El-Abd,34,180,88,CB,Derecho,43,39,44,47,63,78
Adebayo Akinfenwa,37,178,110,ST,Derecho,43,63,54,56,35,81
阿部 勇樹,37,178,77,"CB, CDM, CM",Derecho,38,66,70,63,66,57
Jamie Mackie,33,173,71,ST,Derecho,64,64,59,64,51,74
David Edwards,33,183,78,"CM, CDM",Derecho,51,61,62,62,60,74
René Gartler,33,184,78,ST,Derecho,52,66,54,62,24,66
Henrico Drost,32,183,80,CB,Derecho,33,39,45,54,64,70
Simon Cox,32,181,70,"ST, CAM",Derecho,58,66,58,63,36,70
Luke Varney,36,180,70,ST,Derecho,64,63,56,63,40,66
Francesco Cosenza,33,187,87,CB,Derecho,47,34,34,38,64,78
Stéphane Darbion,35,183,77,LM,Izquierdo,49,68,69,69,63,57
Craig Morgan,34,187,89,CB,Derecho,30,30,48,34,65,67
Anthony McMahon,33,180,72,RB,Derecho,66,46,59,60,65,71
Abdoulrazak Boukari Fafadji,32,187,84,ST,Derecho,73,61,60,65,29,58
Matt Done,30,178,65,"LM, LB, ST",Izquierdo,77,59,60,65,56,68
Mohammad Bander Al Shalhoub,38,163,66,"CAM, CM",Izquierdo,33,64,73,65,37,34
Goran Karanović,31,186,82,ST,Derecho,68,60,53,63,39,67
Jonathan Martins Pereira,33,182,76,RB,Derecho,61,48,62,63,64,65
Michael O'Connor,31,180,79,"CM, CDM",Derecho,63,60,65,60,59,76
Rostyn Griffiths,31,187,86,"CDM, CM",Derecho,51,50,59,60,62,77
Calum Woods,32,180,73,"RB, RWB, CB",Derecho,62,46,58,62,64,68
Jonathan Grounds,31,185,87,"LWB, LB",Izquierdo,61,41,56,62,64,73
Gary Liddle,33,185,79,"CB, RB",Derecho,53,45,54,55,63,75
Junior Brown,30,175,68,LB,Izquierdo,77,55,57,66,60,69
Stephen Gleeson,30,178,80,"CDM, CM",Derecho,63,64,65,62,60,71
Scott Golbourne,31,173,77,"LB, LWB",Izquierdo,69,32,57,63,62,72
Murat Yıldırım,32,170,68,"CDM, CM",Derecho,59,50,62,66,60,64
Daniel Semenzato,32,180,72,"RB, RW, RWB",Derecho,69,46,53,65,63,68
Andreas Lienhart,33,183,78,"RB, RWB, RM",Derecho,59,50,63,63,64,68
Aitor Fernández López,32,181,73,"RB, CB, LB",Derecho,70,39,52,59,63,76
Rodolfo Antonio Zelaya García,30,174,70,ST,Izquierdo,61,65,55,67,26,58
Lewis Stevenson,31,170,67,"LB, LWB",Izquierdo,63,43,60,67,64,68
Srgian Luchin,33,185,82,CB,Derecho,52,48,48,56,61,74
Timo Röttger,33,176,76,ST,Derecho,67,63,52,69,37,69
Luis Pedro Figueroa Sepúlveda,36,179,77,"RM, RB, RW",Derecho,54,60,68,66,56,61
Alexandre Raineau,33,178,75,LB,Izquierdo,55,48,60,62,65,71
Edy Germán Brambila Rosales,33,172,68,CM,Derecho,66,63,66,66,49,64
Christian Kum,33,182,82,"RB, CB, LB",Derecho,59,40,56,58,67,72
Andrea Paolucci,32,176,72,CM,Derecho,72,59,66,66,55,63
Georgi Zdravkov Sarmov,33,180,75,"CM, CDM",Izquierdo,63,59,64,64,60,67
David Worrall,29,170,67,RM,Derecho,76,58,60,67,50,66
David Perkins,37,168,76,"CM, CDM",Izquierdo,57,52,61,64,64,69
Oliver Bozanić,30,177,75,"CM, CDM, LM",Izquierdo,72,63,64,66,62,66
José Isidoro Gómez Torres,32,180,71,"RB, LB",Derecho,71,40,57,55,62,72
Nikolai Topor-Stanley,34,191,90,CB,Izquierdo,47,40,53,46,61,83
André Hainault,33,184,80,CB,Derecho,35,46,51,48,64,71
Michael Almebäck,31,184,83,CB,Derecho,73,30,42,41,63,77
Nigel Boogaard,32,188,88,CB,Derecho,48,27,43,38,62,74
杨旭,32,188,80,ST,Derecho,51,61,50,59,28,71
Neal Bishop,37,186,81,CM,Derecho,62,57,58,60,67,77
张文钊,32,177,65,"LM, RM, LW",Derecho,79,57,62,65,53,60
隋东陆,36,194,88,"CB, CDM",Derecho,35,52,53,59,65,64
Timo Gebhart,30,182,83,"CAM, CM",Derecho,60,60,66,68,41,66
Joe Jacobson,32,180,79,LB,Izquierdo,68,57,62,63,61,71
Yaw Amankwah,30,194,92,CB,Derecho,42,32,31,39,64,80
Abumere Tafadzwa Ogogo,29,177,78,"CM, CDM",Derecho,74,58,62,63,64,86
Sascha Mölders,34,185,79,ST,Izquierdo,48,67,45,49,36,75
Donny Gorter,31,175,70,CM,Izquierdo,54,63,66,65,61,66
송진형 宋金亨,31,175,65,"CM, CAM, CDM",Derecho,78,60,66,66,57,58
Léo Schwechlen,30,182,78,"LB, CB",Izquierdo,56,18,52,52,65,72
Alex James Dyer,29,177,74,CM,Derecho,70,59,60,62,58,72
Daniel Aquino Pintos,28,178,68,ST,Izquierdo,72,66,59,73,25,52
Nicklas Bärkroth,27,172,75,"LW, RW",Derecho,81,58,63,68,34,61
John Akinde,29,188,87,ST,Derecho,76,62,48,56,36,83
Byron Webster,32,191,88,CB,Derecho,50,39,45,43,63,75
Ryan Flynn,30,175,60,"CM, LM, RM",Derecho,64,58,66,65,59,62
Jacob Mellis,28,181,69,CM,Derecho,62,62,66,65,52,64
Jimmy Ryan,30,180,67,"CM, CDM",Derecho,61,56,64,66,59,67
Claude Dielna,31,183,86,"CB, LB",Izquierdo,62,47,52,51,62,78
Lars Christian Krogh Gerson,29,187,76,"RWB, CB, CM",Derecho,55,52,66,62,59,76
Omar Israel Mendoza Martín,30,173,72,RB,Derecho,68,32,54,60,62,73
Carlos Alberto Gutiérrez Armas,29,166,69,LB,Izquierdo,76,53,61,68,60,62
Richard Ruíz Toledo,33,175,72,"RB, LB",Derecho,68,57,61,65,60,70
Liam Sercombe,29,178,69,"LM, CM",Derecho,64,63,64,66,53,69
Kevin Conboy,31,185,77,LB,Izquierdo,67,49,61,61,63,70
Marc Pedersen,29,184,87,CB,Derecho,64,36,53,51,60,81
Luis Ernesto Pérez Martínez,30,175,78,"CDM, CM",Derecho,71,53,61,63,63,64
Emanuel Schreiner,30,181,74,"LWB, LB, LM",Izquierdo,69,53,59,63,61,71
Arnór Smárason,30,184,76,"CAM, RM, LM",Derecho,65,65,63,64,50,74
Paddy Madden,29,183,76,ST,Derecho,69,64,51,61,34,68
Joseph Mills,29,175,70,"LWB, LB",Izquierdo,75,49,61,64,60,71
David Templeton,30,176,63,"LM, CM",Derecho,76,61,60,68,46,60
Mark Marshall,32,170,69,"RM, LM",Izquierdo,89,58,59,69,42,62
Ryan McGowan,29,191,78,"CB, RB",Derecho,67,48,56,58,62,76
Mattia Minesso,29,173,70,"CAM, CF",Izquierdo,77,61,59,69,31,57
John Brayford,31,173,71,"RB, CB",Derecho,60,43,59,61,65,71
Mustafa Abdellaoue,30,181,74,ST,Derecho,66,64,49,66,31,63
Stian Ringstad,27,188,80,"LB, LM",Izquierdo,74,56,61,65,61,73
Kristoffer Tokstad,27,185,84,"RM, RW",Derecho,79,60,61,63,46,75
Mathis Gazoa  Kippersund Bolly,28,185,77,"RM, LM, ST",Derecho,94,60,52,67,29,60
Jonathan Chiedozie Obika,28,183,76,ST,Izquierdo,71,62,43,61,36,71
Yazalde  Gomes Pinto,30,180,75,"ST, LW",Derecho,62,64,62,62,31,74
Quincy Obina Amarikwa,31,175,81,ST,Derecho,73,61,55,66,28,71
정혁 张赫,33,175,70,"CM, CDM",Derecho,60,57,67,66,60,69
Yasin Pehlivan,30,184,70,"CDM, CM",Derecho,70,58,57,63,59,70
Adam Matuszczyk,30,183,73,"CDM, CM",Derecho,62,62,63,65,63,64
Lee Novak,30,183,78,ST,Derecho,59,65,57,60,41,75
Steven de Sousa Vitória,32,195,86,CB,Derecho,34,54,51,46,60,76
Mirko Carretta,28,178,75,"CF, LW, RW",Izquierdo,91,54,59,69,35,61
Grzegorz Kuświk,32,181,75,ST,Derecho,68,62,56,64,30,67
Danny Mayor,28,183,76,"CM, LM",Derecho,72,62,63,73,43,64
Piotr Tomasik,31,177,72,LB,Izquierdo,72,51,62,60,60,72
Ash Taylor,28,193,76,CB,Derecho,59,36,41,47,62,78
Matty Lund,28,183,76,"CM, CDM",Derecho,67,60,62,60,64,74
Kyle Bennett,28,165,61,LM,Derecho,81,56,57,68,36,50
Alberto Gerbo,29,177,70,"RM, CM, RB",Derecho,79,51,59,68,50,62
Frank Nouble,27,190,82,"ST, LM",Derecho,82,62,55,64,41,77
Gianvito Misuraca,29,180,75,"CAM, CM, CF",Derecho,75,62,62,64,33,65
Lee Brown,28,183,79,LB,Izquierdo,71,54,60,60,63,76
Nils Miatke,29,178,76,"LM, LB, CM",Izquierdo,79,50,60,68,61,64
Tom Parkes,27,188,79,"CB, LB",Izquierdo,57,33,51,52,60,80
Davide Di Quinzio,30,178,69,"CM, LM, RM",Derecho,79,62,65,68,58,62
David Amoo,28,178,77,RM,Derecho,90,58,56,67,38,63
Umaru Bangura,31,180,75,CB,Derecho,76,48,58,58,61,77
Mohammed Fayez,29,177,69,"LB, CB",Izquierdo,74,33,56,60,63,70
Jason  Davidson,28,180,72,LWB,Izquierdo,67,49,60,64,60,65
Martin Olof Lorentzson,34,179,72,"CB, RB",Derecho,55,45,58,59,65,64
Eric Alexander,31,185,75,"CDM, CM",Derecho,58,59,64,64,58,69
Seth Sinovic,32,178,77,LB,Izquierdo,57,41,61,63,67,65
Jake Jervis,27,191,82,"ST, RM",Derecho,83,60,53,63,34,69
王刚,30,188,81,"RB, RM",Derecho,77,54,60,63,59,78
Viktor Prodell,31,190,86,ST,Derecho,71,61,48,58,29,68
양준아 梁准我,30,188,83,"CB, CM",Izquierdo,51,56,56,59,62,75
Patrick Salomon,31,179,70,"CM, CDM",Derecho,61,56,60,63,59,71
Dionicio Manuel Escalante Moreno,29,179,87,"CB, LB",Izquierdo,63,49,60,57,61,71
Michael Novak,28,184,80,"RB, LB",Derecho,72,41,56,65,64,69
Johan Bertilsson,31,177,68,"RW, LM, RM",Derecho,71,61,63,66,32,59
Tanju Öztürk,29,191,87,CDM,Derecho,46,43,54,53,65,76
Mihai Răduț,29,178,67,LM,Derecho,77,59,61,66,43,65
Francisco Pablo Cruz Torres,28,184,73,"CB, CDM",Derecho,56,36,50,50,61,77
Steven Lawless,28,170,65,"RWB, RM, LM",Izquierdo,72,61,61,67,56,64
Malek Chergui,30,179,71,"RM, LM",Izquierdo,73,62,59,67,31,60
Dario Tadić,29,177,77,ST,Derecho,75,66,55,65,28,71
Stephen McLaughlin,29,175,77,"RM, LM",Izquierdo,75,60,61,66,27,62
Álvaro Rey Vázquez,29,183,78,"RM, LM",Derecho,70,53,61,68,43,62
Michael Doughty,26,185,81,CM,Izquierdo,63,60,66,65,53,70
Kristoffer  Knudsen Larsen,27,183,74,"LM, RM",Derecho,72,61,58,70,36,59
Roope Riski,27,181,68,"ST, CAM",Derecho,83,63,53,66,41,59
이웅희 李雄熙,30,182,78,CB,Derecho,72,29,52,58,63,73
Erik Tønne,28,180,75,LW,Izquierdo,73,58,65,65,56,69
Marc Pfitzner,34,183,81,"CDM, CM, CB",Derecho,47,61,58,57,63,74
Alessandro Bruno,35,180,70,"CM, CDM",Derecho,41,48,62,62,62,68
Lorenzo Burnet,28,170,65,LB,Izquierdo,74,42,59,66,63,63
Daniel Drescher,29,190,85,CB,Izquierdo,34,23,40,40,64,70
Samuel Benjamin Elias Scheimann,31,181,76,LB,Izquierdo,69,62,61,63,61,73
Darren Maatsen,29,183,71,"RW, ST",Derecho,92,58,53,67,37,61
Ryan Jackson,28,175,65,"RB, RWB",Derecho,85,53,56,64,58,74
Sido Jombarti,31,182,75,"CB, RB",Derecho,66,37,53,54,63,71
Issiaka Ouédraogo,30,179,78,"ST, LW, LM",Derecho,83,64,46,68,22,68
Lukáš Droppa,30,183,84,CDM,Derecho,61,49,60,55,61,73
Soufian Benyamina,29,189,79,ST,Derecho,71,62,42,65,34,71
Adrià Gallego Arias,29,184,75,RB,Derecho,77,39,54,53,61,72
Lawrence Olum,34,188,83,"CB, CDM",Derecho,37,49,54,53,61,74
Nicolas Hasler,28,175,78,"RB, RM, RWB",Derecho,67,51,62,67,63,67
José Valencia,27,187,81,ST,Derecho,69,62,39,64,24,78
Ahmed Issa Koro Koné,29,178,74,ST,Derecho,79,62,52,67,25,55
Warren Creavalle,28,183,70,CDM,Derecho,71,49,56,64,63,72
Connor Jennings,28,183,72,"LM, CAM",Derecho,77,63,60,63,35,62
Lukas Grozurek,27,188,83,"LM, ST",Derecho,76,62,57,64,35,72
Patryk Tuszyński,29,184,77,ST,Derecho,67,63,56,62,37,61
Michał Mak,27,172,60,"LM, RM",Derecho,83,63,59,66,27,42
Julian Schauerte,31,177,67,RB,Derecho,69,40,60,63,64,65
Alassane N'Diaye,28,179,67,"LM, RM, CAM",Derecho,86,62,53,70,27,58
Jim-Patrick Müller,29,182,75,"RM, LM",Derecho,80,59,58,66,39,65
Tawfiq Bu Haymid,31,169,68,"LB, RB",Izquierdo,72,60,63,64,58,72
Elson Hooi,27,169,61,"LW, RW",Derecho,91,54,57,69,24,43
Armindo Mendes Furtado,31,177,72,"RW, LW",Derecho,81,59,59,68,27,63
Kgotso Moleko,29,181,76,"RB, RM",Derecho,77,49,60,66,63,57
Ibrahim Al Zubaidi,29,172,66,LB,Izquierdo,74,33,56,64,59,67
Reagy Ofosu,27,175,76,LM,Derecho,90,56,57,67,30,59
Dimitry Imbongo Boele,29,188,73,ST,Derecho,68,64,55,58,26,75
Aqeel Al Sahabi,32,180,67,"CB, RB",Derecho,65,33,46,58,64,72
Hassan Kadish,26,179,73,LB,Izquierdo,73,42,58,60,63,74
Andrea Tabanelli,29,192,78,"CM, CAM",Derecho,60,54,63,66,47,67
Nicolás Hidalgo García,27,178,68,RM,Derecho,76,55,60,70,48,61
Manuel Stiefler,30,178,76,"CM, RM",Derecho,74,50,64,68,46,68
Timmy Thiele,27,188,84,ST,Derecho,79,61,52,63,22,65
Philemon Ofosu-Ayeh,27,181,81,"RB, RWB",Derecho,81,47,56,66,62,71
Dennis  Mast,27,186,79,"LM, CM, LW",Izquierdo,83,56,57,65,34,61
永井 龍,28,180,73,"ST, LW, RW",Derecho,82,61,57,63,27,63
